Domain,Area,Element,Item,Year,Unit,Value
"Crops","Afghanistan","Yield","Maize","1961","hg/ha","14000"
"Crops","Afghanistan","Yield","Maize","1962","hg/ha","14000"
"Crops","Afghanistan","Yield","Maize","1963","hg/ha","14260"
"Crops","Afghanistan","Yield","Maize","1964","hg/ha","14257"
"Crops","Afghanistan","Yield","Maize","1965","hg/ha","14400"
"Crops","Afghanistan","Yield","Maize","1966","hg/ha","14400"
"Crops","Afghanistan","Yield","Maize","1967","hg/ha","14144"
"Crops","Afghanistan","Yield","Maize","1968","hg/ha","17064"
"Crops","Afghanistan","Yield","Maize","1969","hg/ha","17177"
"Crops","Afghanistan","Yield","Maize","1970","hg/ha","14757"
"Crops","Afghanistan","Yield","Maize","1971","hg/ha","13400"
"Crops","Afghanistan","Yield","Maize","1972","hg/ha","15652"
"Crops","Afghanistan","Yield","Maize","1973","hg/ha","16170"
"Crops","Afghanistan","Yield","Maize","1974","hg/ha","16170"
"Crops","Afghanistan","Yield","Maize","1975","hg/ha","16116"
"Crops","Afghanistan","Yield","Maize","1976","hg/ha","16598"
"Crops","Afghanistan","Yield","Maize","1977","hg/ha","15833"
"Crops","Afghanistan","Yield","Maize","1978","hg/ha","16183"
"Crops","Afghanistan","Yield","Maize","1979","hg/ha","16102"
"Crops","Afghanistan","Yield","Maize","1980","hg/ha","16711"
"Crops","Afghanistan","Yield","Maize","1981","hg/ha","16690"
"Crops","Afghanistan","Yield","Maize","1982","hg/ha","16658"
"Crops","Afghanistan","Yield","Maize","1983","hg/ha","16641"
"Crops","Afghanistan","Yield","Maize","1984","hg/ha","16612"
"Crops","Afghanistan","Yield","Maize","1985","hg/ha","16652"
"Crops","Afghanistan","Yield","Maize","1986","hg/ha","16875"
"Crops","Afghanistan","Yield","Maize","1987","hg/ha","17020"
"Crops","Afghanistan","Yield","Maize","1988","hg/ha","17034"
"Crops","Afghanistan","Yield","Maize","1989","hg/ha","16963"
"Crops","Afghanistan","Yield","Maize","1990","hg/ha","17582"
"Crops","Afghanistan","Yield","Maize","1991","hg/ha","16800"
"Crops","Afghanistan","Yield","Maize","1992","hg/ha","15000"
"Crops","Afghanistan","Yield","Maize","1993","hg/ha","16786"
"Crops","Afghanistan","Yield","Maize","1994","hg/ha","16667"
"Crops","Afghanistan","Yield","Maize","1995","hg/ha","16563"
"Crops","Afghanistan","Yield","Maize","1996","hg/ha","16364"
"Crops","Afghanistan","Yield","Maize","1997","hg/ha","15000"
"Crops","Afghanistan","Yield","Maize","1998","hg/ha","16500"
"Crops","Afghanistan","Yield","Maize","1999","hg/ha","15000"
"Crops","Afghanistan","Yield","Maize","2000","hg/ha","11979"
"Crops","Afghanistan","Yield","Maize","2001","hg/ha","20000"
"Crops","Afghanistan","Yield","Maize","2002","hg/ha","29800"
"Crops","Afghanistan","Yield","Maize","2003","hg/ha","8400"
"Crops","Afghanistan","Yield","Maize","2004","hg/ha","16000"
"Crops","Afghanistan","Yield","Maize","2005","hg/ha","12069"
"Crops","Afghanistan","Yield","Maize","2006","hg/ha","26204"
"Crops","Afghanistan","Yield","Maize","2007","hg/ha","26277"
"Crops","Afghanistan","Yield","Maize","2008","hg/ha","26277"
"Crops","Afghanistan","Yield","Maize","2009","hg/ha","21429"
"Crops","Afghanistan","Yield","Maize","2010","hg/ha","16448"
"Crops","Afghanistan","Yield","Maize","2011","hg/ha","16400"
"Crops","Afghanistan","Yield","Maize","2012","hg/ha","21986"
"Crops","Afghanistan","Yield","Maize","2013","hg/ha","21972"
"Crops","Afghanistan","Yield","Maize","2014","hg/ha","24882"
"Crops","Afghanistan","Yield","Maize","2015","hg/ha","21457"
"Crops","Afghanistan","Yield","Maize","2016","hg/ha","20517"
"Crops","Afghanistan","Yield","Maize","2017","hg/ha","12957"
"Crops","Afghanistan","Yield","Maize","2018","hg/ha","14727"
"Crops","Afghanistan","Yield","Maize","2019","hg/ha","19457"
"Crops","Afghanistan","Yield","Potatoes","1961","hg/ha","86667"
"Crops","Afghanistan","Yield","Potatoes","1962","hg/ha","76667"
"Crops","Afghanistan","Yield","Potatoes","1963","hg/ha","81333"
"Crops","Afghanistan","Yield","Potatoes","1964","hg/ha","86000"
"Crops","Afghanistan","Yield","Potatoes","1965","hg/ha","88000"
"Crops","Afghanistan","Yield","Potatoes","1966","hg/ha","90667"
"Crops","Afghanistan","Yield","Potatoes","1967","hg/ha","98000"
"Crops","Afghanistan","Yield","Potatoes","1968","hg/ha","100000"
"Crops","Afghanistan","Yield","Potatoes","1969","hg/ha","101987"
"Crops","Afghanistan","Yield","Potatoes","1970","hg/ha","95364"
"Crops","Afghanistan","Yield","Potatoes","1971","hg/ha","111333"
"Crops","Afghanistan","Yield","Potatoes","1972","hg/ha","103947"
"Crops","Afghanistan","Yield","Potatoes","1973","hg/ha","110000"
"Crops","Afghanistan","Yield","Potatoes","1974","hg/ha","109639"
"Crops","Afghanistan","Yield","Potatoes","1975","hg/ha","114412"
"Crops","Afghanistan","Yield","Potatoes","1976","hg/ha","178788"
"Crops","Afghanistan","Yield","Potatoes","1977","hg/ha","105263"
"Crops","Afghanistan","Yield","Potatoes","1978","hg/ha","137363"
"Crops","Afghanistan","Yield","Potatoes","1979","hg/ha","143575"
"Crops","Afghanistan","Yield","Potatoes","1980","hg/ha","148603"
"Crops","Afghanistan","Yield","Potatoes","1981","hg/ha","154237"
"Crops","Afghanistan","Yield","Potatoes","1982","hg/ha","155114"
"Crops","Afghanistan","Yield","Potatoes","1983","hg/ha","157647"
"Crops","Afghanistan","Yield","Potatoes","1984","hg/ha","144444"
"Crops","Afghanistan","Yield","Potatoes","1985","hg/ha","140909"
"Crops","Afghanistan","Yield","Potatoes","1986","hg/ha","158667"
"Crops","Afghanistan","Yield","Potatoes","1987","hg/ha","155000"
"Crops","Afghanistan","Yield","Potatoes","1988","hg/ha","155714"
"Crops","Afghanistan","Yield","Potatoes","1989","hg/ha","152632"
"Crops","Afghanistan","Yield","Potatoes","1990","hg/ha","168421"
"Crops","Afghanistan","Yield","Potatoes","1991","hg/ha","166418"
"Crops","Afghanistan","Yield","Potatoes","1992","hg/ha","166667"
"Crops","Afghanistan","Yield","Potatoes","1993","hg/ha","166912"
"Crops","Afghanistan","Yield","Potatoes","1994","hg/ha","165942"
"Crops","Afghanistan","Yield","Potatoes","1995","hg/ha","166187"
"Crops","Afghanistan","Yield","Potatoes","1996","hg/ha","166429"
"Crops","Afghanistan","Yield","Potatoes","1997","hg/ha","167857"
"Crops","Afghanistan","Yield","Potatoes","1998","hg/ha","167857"
"Crops","Afghanistan","Yield","Potatoes","1999","hg/ha","167857"
"Crops","Afghanistan","Yield","Potatoes","2000","hg/ha","167857"
"Crops","Afghanistan","Yield","Potatoes","2001","hg/ha","167857"
"Crops","Afghanistan","Yield","Potatoes","2002","hg/ha","164286"
"Crops","Afghanistan","Yield","Potatoes","2003","hg/ha","166667"
"Crops","Afghanistan","Yield","Potatoes","2004","hg/ha","176471"
"Crops","Afghanistan","Yield","Potatoes","2005","hg/ha","150000"
"Crops","Afghanistan","Yield","Potatoes","2006","hg/ha","150000"
"Crops","Afghanistan","Yield","Potatoes","2007","hg/ha","150400"
"Crops","Afghanistan","Yield","Potatoes","2008","hg/ha","140000"
"Crops","Afghanistan","Yield","Potatoes","2009","hg/ha","140000"
"Crops","Afghanistan","Yield","Potatoes","2010","hg/ha","120000"
"Crops","Afghanistan","Yield","Potatoes","2011","hg/ha","100000"
"Crops","Afghanistan","Yield","Potatoes","2012","hg/ha","109524"
"Crops","Afghanistan","Yield","Potatoes","2013","hg/ha","131960"
"Crops","Afghanistan","Yield","Potatoes","2014","hg/ha","136054"
"Crops","Afghanistan","Yield","Potatoes","2015","hg/ha","130903"
"Crops","Afghanistan","Yield","Potatoes","2016","hg/ha","119868"
"Crops","Afghanistan","Yield","Potatoes","2017","hg/ha","159794"
"Crops","Afghanistan","Yield","Potatoes","2018","hg/ha","190026"
"Crops","Afghanistan","Yield","Potatoes","2019","hg/ha","161413"
"Crops","Afghanistan","Yield","Rice, paddy","1961","hg/ha","15190"
"Crops","Afghanistan","Yield","Rice, paddy","1962","hg/ha","15190"
"Crops","Afghanistan","Yield","Rice, paddy","1963","hg/ha","15190"
"Crops","Afghanistan","Yield","Rice, paddy","1964","hg/ha","17273"
"Crops","Afghanistan","Yield","Rice, paddy","1965","hg/ha","17273"
"Crops","Afghanistan","Yield","Rice, paddy","1966","hg/ha","15180"
"Crops","Afghanistan","Yield","Rice, paddy","1967","hg/ha","19223"
"Crops","Afghanistan","Yield","Rice, paddy","1968","hg/ha","19515"
"Crops","Afghanistan","Yield","Rice, paddy","1969","hg/ha","19757"
"Crops","Afghanistan","Yield","Rice, paddy","1970","hg/ha","18119"
"Crops","Afghanistan","Yield","Rice, paddy","1971","hg/ha","17500"
"Crops","Afghanistan","Yield","Rice, paddy","1972","hg/ha","19048"
"Crops","Afghanistan","Yield","Rice, paddy","1973","hg/ha","20000"
"Crops","Afghanistan","Yield","Rice, paddy","1974","hg/ha","20000"
"Crops","Afghanistan","Yield","Rice, paddy","1975","hg/ha","20714"
"Crops","Afghanistan","Yield","Rice, paddy","1976","hg/ha","21333"
"Crops","Afghanistan","Yield","Rice, paddy","1977","hg/ha","19048"
"Crops","Afghanistan","Yield","Rice, paddy","1978","hg/ha","20381"
"Crops","Afghanistan","Yield","Rice, paddy","1979","hg/ha","21311"
"Crops","Afghanistan","Yield","Rice, paddy","1980","hg/ha","21728"
"Crops","Afghanistan","Yield","Rice, paddy","1981","hg/ha","22414"
"Crops","Afghanistan","Yield","Rice, paddy","1982","hg/ha","21994"
"Crops","Afghanistan","Yield","Rice, paddy","1983","hg/ha","22581"
"Crops","Afghanistan","Yield","Rice, paddy","1984","hg/ha","22416"
"Crops","Afghanistan","Yield","Rice, paddy","1985","hg/ha","22482"
"Crops","Afghanistan","Yield","Rice, paddy","1986","hg/ha","22400"
"Crops","Afghanistan","Yield","Rice, paddy","1987","hg/ha","20000"
"Crops","Afghanistan","Yield","Rice, paddy","1988","hg/ha","19056"
"Crops","Afghanistan","Yield","Rice, paddy","1989","hg/ha","18824"
"Crops","Afghanistan","Yield","Rice, paddy","1990","hg/ha","19029"
"Crops","Afghanistan","Yield","Rice, paddy","1991","hg/ha","19364"
"Crops","Afghanistan","Yield","Rice, paddy","1992","hg/ha","17143"
"Crops","Afghanistan","Yield","Rice, paddy","1993","hg/ha","17143"
"Crops","Afghanistan","Yield","Rice, paddy","1994","hg/ha","19000"
"Crops","Afghanistan","Yield","Rice, paddy","1995","hg/ha","22941"
"Crops","Afghanistan","Yield","Rice, paddy","1996","hg/ha","19429"
"Crops","Afghanistan","Yield","Rice, paddy","1997","hg/ha","22222"
"Crops","Afghanistan","Yield","Rice, paddy","1998","hg/ha","25000"
"Crops","Afghanistan","Yield","Rice, paddy","1999","hg/ha","20000"
"Crops","Afghanistan","Yield","Rice, paddy","2000","hg/ha","20000"
"Crops","Afghanistan","Yield","Rice, paddy","2001","hg/ha","20000"
"Crops","Afghanistan","Yield","Rice, paddy","2002","hg/ha","28741"
"Crops","Afghanistan","Yield","Rice, paddy","2003","hg/ha","29931"
"Crops","Afghanistan","Yield","Rice, paddy","2004","hg/ha","23744"
"Crops","Afghanistan","Yield","Rice, paddy","2005","hg/ha","30313"
"Crops","Afghanistan","Yield","Rice, paddy","2006","hg/ha","33750"
"Crops","Afghanistan","Yield","Rice, paddy","2007","hg/ha","32471"
"Crops","Afghanistan","Yield","Rice, paddy","2008","hg/ha","32211"
"Crops","Afghanistan","Yield","Rice, paddy","2009","hg/ha","32250"
"Crops","Afghanistan","Yield","Rice, paddy","2010","hg/ha","32308"
"Crops","Afghanistan","Yield","Rice, paddy","2011","hg/ha","32000"
"Crops","Afghanistan","Yield","Rice, paddy","2012","hg/ha","24390"
"Crops","Afghanistan","Yield","Rice, paddy","2013","hg/ha","24980"
"Crops","Afghanistan","Yield","Rice, paddy","2014","hg/ha","24409"
"Crops","Afghanistan","Yield","Rice, paddy","2015","hg/ha","25000"
"Crops","Afghanistan","Yield","Rice, paddy","2016","hg/ha","29963"
"Crops","Afghanistan","Yield","Rice, paddy","2017","hg/ha","30919"
"Crops","Afghanistan","Yield","Rice, paddy","2018","hg/ha","29963"
"Crops","Afghanistan","Yield","Rice, paddy","2019","hg/ha","29993"
"Crops","Afghanistan","Yield","Wheat","1961","hg/ha","10220"
"Crops","Afghanistan","Yield","Wheat","1962","hg/ha","9735"
"Crops","Afghanistan","Yield","Wheat","1963","hg/ha","8317"
"Crops","Afghanistan","Yield","Wheat","1964","hg/ha","9510"
"Crops","Afghanistan","Yield","Wheat","1965","hg/ha","9723"
"Crops","Afghanistan","Yield","Wheat","1966","hg/ha","8666"
"Crops","Afghanistan","Yield","Wheat","1967","hg/ha","11232"
"Crops","Afghanistan","Yield","Wheat","1968","hg/ha","11562"
"Crops","Afghanistan","Yield","Wheat","1969","hg/ha","11855"
"Crops","Afghanistan","Yield","Wheat","1970","hg/ha","9563"
